"","word","freq"
"1","accept",4.40697914675612e-05
"2","accepted",3.2603588061237e-05
"3","accepting",1.12104267889249e-05
"4","accepts",3.02276046267605e-06
"5","advantage",0.000153771519978026
"6","best",0.000338230251940341
"7","bold",1.28187085912859e-05
"8","confidently",1.24207126326805e-06
"9","control",0.00021430994087953
"10","daring",1.02625808361209e-06
"11","determined",4.72061937795641e-05
"12","flawless",5.32608727917456e-07
"13","glorious",1.17844460988859e-06
"14","glory",1.8796226170129e-06
"15","hope",0.000228617382197118
"16","hoped",8.59301876064771e-06
"17","hopes",3.84242069635344e-05
"18","hoping",1.19454490032003e-05
"19","original",8.61312010352625e-05
"20","pride",1.39116300552959e-05
"21","promising",4.91257054852359e-05
"22","ready",7.15404877070117e-05
"23","secure",0.000168611681894232
"24","strong",0.000312519889466889
"25","super",1.66569544407626e-05
"26","top",0.000204184740900605
"27","win",5.64302293870361e-05
"28","wins",3.29705679423227e-05
"29","won",3.16225792303318e-05
